"city_x","company_x","station_name","gasoil10_price","supercarburant_price","station_location_y"
"Casablanca","WINXO","WINXO ROUTE DE BENSLIMANE","‎ 13.89 DH","‎ 14.78 DH","ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
"Casablanca","WINXO","WINXO AIN SEBAA","‎ 13.89 DH","‎ 14.78 DH","BD MOULAY ISMAIL"
"Casablanca","WINXO","WINXO AIN BORJA","‎ 13.89 DH","‎ 14.78 DH","BD IBN TACHFINE"
"Casablanca","WINXO","WINXO TIT MELLIL","‎ 13.9 DH","‎ 14.82 DH","BEN M'SIK DERB MILAN"
"Casablanca","WINXO","WINXO LA VILLETTE","‎ 13.95 DH","‎ 14.75 DH","CENTRE TIT MELLIL"
"Casablanca","WINXO","WINXO MOULAY ISMAIL","‎ 13.95 DH","‎ 14.83 DH","BD MOULAY ISMAIL"
"Casablanca","WINXO","WINXO BLAYE","‎ 13.92 DH","‎ 14.78 DH","RUE BLAYE ET BD OULED ZIANE"
"Casablanca","WINXO","WINXO BUZANCY","‎ 13.89 DH","‎ 14.78 DH","ANGLE BD PASTEUR ET RUE BUZANCY"
"Casablanca","WINXO","WINXO BD MLY DRISS","‎ 13.99 DH","‎ 14.87 DH","ANG AV MY IDRISS 1ER "
"Casablanca","WINXO","WINXO AVENUE 2 MARS","‎ 13.89 DH","‎ 14.78 DH","ANGLES AVENUE , 2 MARS ET RUE LAMARTINE"
"Casablanca","WINXO","WINXO LES ALLIES","‎ 13.89 DH","‎ 14.78 DH","PLACE DE LA VICTOIRE"
"Casablanca","WINXO","WINXO VESALE","‎ 13.93 DH","‎ 14.8 DH","RUE VESALE ET 2 MARS"
"Casablanca","WINXO","WINXO HASSAN II CASA","‎ 13.93 DH","‎ 14.8 DH","RP HASSANE 2 CASA"
"Casablanca","WINXO","WINXO AL MASSIRA","‎ 13.89 DH","‎ 14.78 DH","AVENUE EL MASSIRA"
"Casablanca","WINXO","WINXO DANTON","‎ 13.89 DH","‎ 14.78 DH","BD BORDEAUX"
"Casablanca","WINXO","WINXO AVENIR","‎ 13.89 DH","‎ 14.78 DH","BD BIR ANZARANE"
"Casablanca","WINXO","WINXO GHANDI","‎ 13.92 DH","‎ 14.78 DH","RTE D'EL JADIDA"
"Casablanca","WINXO","WINXO HIPPODROME","‎ 13.95 DH","‎ 14.79 DH","ANG. BD GHANDI ET IBN SINA"
"Casablanca","WINXO","WINXO SAMIR","‎ 13.95 DH","‎ 14.79 DH","AVENUE SID AL KHADIR OULFA"
"Casablanca","WINXO","WINXO SOCCO","‎ 13.87 DH","‎ 10.93 DH","ROUTE DE MOHAMMEDIA RS107 + PK6"
